Year	SeaLevel
1936.2917	-24.26
1936.375	-25.44
1936.4583	-23.99
1936.5417	-23.64
1936.625	-18.75
1936.7083	-20.66
1936.7917	-15.71
1936.875	-20.14
1936.9583	-18.68
1937.0417	-20.91
1937.125	-18.88
1937.2083	-20.18
1937.2917	-18.58
1937.375	-17.41
1937.4583	-19.36
1937.5417	-19.04
1937.625	-19.94
1937.7083	-15.39
1937.7917	-13.78
1937.875	-12.44
1937.9583	-11.98
1938.0417	-10.63
1938.125	-9.26
1938.2083	-7.56
1938.2917	-7.8
1938.375	-11.86
1938.4583	-14.61
1938.5417	-19.71
1938.625	-17.1
1938.7083	-14.54
1938.7917	-10
1938.875	-10.27
1938.9583	-12.53
1939.0417	-14.3
1939.125	-19.15
1939.2083	-18.31
1939.2917	-16.41
1939.375	-10.49
1939.4583	-4.12
1939.5417	-3.44
1939.625	-5.82
1939.7083	-11.53
1939.7917	-13.99
1939.875	-12.43
1939.9583	-11.42
1940.0417	-11.87
1940.125	-13.79
1940.2083	-16.82
1940.2917	-21.84
1940.375	-21.78
1940.4583	-24.8
1940.5417	-22.02
1940.625	-19.68
1940.7083	-16.98
1940.7917	-13.25
1940.875	-9.29
1940.9583	-5.54
1941.0417	-3.76
1941.125	-0.56
1941.2083	-0.14
1941.2917	-0.84
1941.375	-2.67
1941.4583	-2.89
1941.5417	-1.01
1941.625	2.03
1941.7083	1.65
1941.7917	-1.57
1941.875	-4.72
1941.9583	-3.76
1942.0417	-3.85
1942.125	-2.61
1942.2083	-5.32
1942.2917	-6.72
1942.375	-5.66
1942.4583	-1.91
1942.5417	2.3
1942.625	5.47
1942.7083	7.28
1942.7917	5.71
1942.875	2.79
1942.9583	-2.1
1943.0417	0.43
1943.125	2.86
1943.2083	3.89
1943.2917	3.94
1943.375	-1.19
1943.4583	-2.26
1943.5417	-6.1
1943.625	-6.14
1943.7083	-5.84
1943.7917	-6.63
1943.875	-8.76
1943.9583	-7.76
1944.0417	-2.63
1944.125	4.68
1944.2083	6.06
1944.2917	0.19
1944.375	-7.11
1944.4583	-12.35
1944.5417	-13.01
1944.625	-12.26
1944.7083	-8.93
1944.7917	-6.35
1944.875	-2.52
1944.9583	-2.1
1945.0417	-0.7
1945.125	-1.84
1945.2083	-2.59
1945.2917	-3.03
1945.375	-0.89
1945.4583	1.44
1945.5417	-2.55
1945.625	-3.23
1945.7083	-5.71
1945.7917	-2.75
1945.875	-2.65
1945.9583	-0.12
1946.0417	-2.22
1946.125	1.54
1946.2083	1.29
1946.2917	4.7
1946.375	8.51
1946.4583	10.88
1946.5417	12.11
1946.625	8.79
1946.7083	4.79
1946.7917	0.18
1946.875	-2.89
1946.9583	-3.47
1947.0417	-3.53
1947.125	-0.67
1947.2083	-0.35
1947.2917	-3.46
1947.375	-3.55
1947.4583	-0.85
1947.5417	2.08
1947.625	5.8
1947.7083	9.42
1947.7917	13.85
1947.875	16.22
1947.9583	12.65
1948.0417	10.85
1948.125	6.85
1948.2083	6.65
1948.2917	5.82
1948.375	9.05
1948.4583	10.25
1948.5417	12.61
1948.625	11.31
1948.7083	12.58
1948.7917	11.33
1948.875	11.29
1948.9583	11.92
1949.0417	13.3
1949.125	15.24
1949.2083	12.59
1949.2917	10.72
1949.375	8.65
1949.4583	6.02
1949.5417	4.58
1949.625	5.34
1949.7083	5.26
1949.7917	9.89
1949.875	11.66
1949.9583	12.14
1950.0417	9.43
1950.125	8.12
1950.2083	9.14
1950.2917	13.24
1950.375	15.82
1950.4583	16.03
1950.5417	15.43
1950.625	14.42
1950.7083	16.65
1950.7917	17.81
1950.875	18.74
1950.9583	19.44
1951.0417	18.14
1951.125	23.83
1951.2083	29.74
1951.2917	31.94
1951.375	33.37
1951.4583	29.68
1951.5417	26.65
1951.625	23.45
1951.7083	23.83
1951.7917	22.17
1951.875	20.85
1951.9583	18.08
1952.0417	17.26
1952.125	17.88
1952.2083	16.84
1952.2917	17.47
1952.375	18.4
1952.4583	21.52
1952.5417	21.24
1952.625	23.09
1952.7083	25.71
1952.7917	26.98
1952.875	29.81
1952.9583	29.39
1953.0417	27.36
1953.125	24.51
1953.2083	21.68
1953.2917	24.58
1953.375	27
1953.4583	29.77
1953.5417	26.92
1953.625	24.64
1953.7083	23.76
1953.7917	21.79
1953.875	22.17
1953.9583	21.22
1954.0417	24.22
1954.125	25.41
1954.2083	25.28
1954.2917	22.49
1954.375	22.26
1954.4583	19.5
1954.5417	16.29
1954.625	15.94
1954.7083	19.1
1954.7917	25.29
1954.875	29.52
1954.9583	30.35
1955.0417	31.15
1955.125	31.32
1955.2083	29.75
1955.2917	27.07
1955.375	24.59
1955.4583	22.12
1955.5417	19.35
1955.625	20.96
1955.7083	21.54
1955.7917	26.93
1955.875	29.48
1955.9583	29.34
1956.0417	27.52
1956.125	22.16
1956.2083	21.51
1956.2917	24.64
1956.375	25.42
1956.4583	23.91
1956.5417	18.24
1956.625	16.13
1956.7083	16.07
1956.7917	17.26
1956.875	18.58
1956.9583	19.9
1957.0417	24.91
1957.125	32.23
1957.2083	36.35
1957.2917	36.69
1957.375	38.5
1957.4583	39.52
1957.5417	39.86
1957.625	37.5
1957.7083	36.28
1957.7917	34.04
1957.875	34.59
1957.9583	35.28
1958.0417	38.45
1958.125	38.76
1958.2083	39.83
1958.2917	36.75
1958.375	38.11
1958.4583	36.83
1958.5417	36.89
1958.625	36.86
1958.7083	38.24
1958.7917	40.9
1958.875	41.33
1958.9583	40.79
1959.0417	38.36
1959.125	35.28
1959.2083	33.7
1959.2917	36.23
1959.375	36.49
